Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.510,0.160,0.578,0.862,0.537,0.748,0.667,0.634,0.386
0.880,0.048,0.035,0.006,0.918,0.850,0.846,0.646,0.461
0.959,0.016,0.105,0.542,0.991,0.994,0.816,0.848,0.839
0.780,0.143,0.115,0.022,0.839,0.904,0.871,0.926,0.592
0.381,0.050,0.547,0.849,0.399,0.398,0.514,0.458,0.315
0.988,0.029,0.131,0.024,0.995,0.992,0.859,0.939,0.953
0.227,0.019,0.793,0.635,0.230,0.377,0.929,0.964,0.139
0.227,0.019,0.793,0.635,0.230,0.377,0.929,0.964,0.139
0.450,0.038,0.032,0.212,0.534,0.583,0.724,0.699,0.201
0.132,0.062,0.028,0.073,0.127,0.169,0.444,0.524,0.055
0.809,0.040,0.080,0.019,0.864,0.927,0.864,0.926,0.513
0.631,0.175,0.007,0.005,0.610,0.531,0.302,0.264,0.209
0.182,0.095,0.013,0.003,0.174,0.111,0.790,0.760,0.056
0.182,0.095,0.013,0.003,0.174,0.111,0.790,0.760,0.056
0.194,0.021,0.330,0.360,0.180,0.201,0.823,0.768,0.073
0.084,0.077,0.293,0.127,0.079,0.030,0.843,0.912,0.034
0.134,0.024,0.342,0.755,0.125,0.088,0.581,0.620,0.062
0.134,0.024,0.342,0.755,0.125,0.088,0.581,0.620,0.062
0.105,0.090,0.085,0.071,0.086,0.026,0.447,0.394,0.044
0.313,0.041,0.879,0.773,0.322,0.285,0.822,0.885,0.252
0.433,0.011,0.591,0.702,0.453,0.476,0.688,0.762,0.273
0.416,0.031,0.391,0.816,0.536,0.550,0.579,0.609,0.292
0.942,0.074,0.009,0.017,0.962,0.938,0.570,0.784,0.536
0.075,0.102,0.012,0.005,0.051,0.061,0.644,0.650,0.027
0.186,0.156,0.265,0.381,0.170,0.053,0.365,0.396,0.098
0.488,0.101,0.850,0.802,0.449,0.493,0.724,0.781,0.430
0.725,0.185,0.424,0.674,0.772,0.880,0.601,0.653,0.513
0.077,0.046,0.881,0.974,0.053,0.078,0.660,0.655,0.064
0.165,0.006,0.791,0.518,0.146,0.101,0.919,0.952,0.061
0.163,0.086,0.018,0.010,0.126,0.116,0.711,0.698,0.059
0.366,0.059,0.926,0.733,0.358,0.348,0.915,0.919,0.279
0.990,0.008,0.191,0.521,0.998,0.997,0.697,0.744,0.924
0.703,0.050,0.252,0.187,0.772,0.757,0.783,0.731,0.477
0.322,0.090,0.014,0.007,0.295,0.344,0.734,0.739,0.121
0.795,0.020,0.037,0.019,0.849,0.748,0.738,0.668,0.361
0.366,0.039,0.111,0.754,0.475,0.565,0.580,0.535,0.177
0.070,0.096,0.004,0.000,0.045,0.036,0.727,0.562,0.020
0.106,0.081,0.852,0.638,0.086,0.025,0.814,0.902,0.063
0.903,0.007,0.490,0.827,0.966,0.977,0.814,0.859,0.786
0.902,0.023,0.017,0.011,0.950,0.946,0.680,0.629,0.558
0.570,0.014,0.064,0.069,0.674,0.633,0.816,0.665,0.227
0.566,0.011,0.871,0.804,0.683,0.720,0.902,0.848,0.340
0.248,0.020,0.874,0.759,0.269,0.246,0.900,0.901,0.167
0.084,0.199,0.010,0.001,0.072,0.072,0.822,0.721,0.038
0.094,0.232,0.753,0.551,0.074,0.021,0.629,0.749,0.065
0.020,0.043,0.268,0.497,0.014,0.005,0.606,0.638,0.011
0.020,0.043,0.268,0.497,0.014,0.005,0.606,0.638,0.011
0.375,0.076,0.805,0.617,0.361,0.312,0.791,0.790,0.356
0.594,0.020,0.198,0.095,0.627,0.693,0.829,0.827,0.258
0.289,0.006,0.469,0.146,0.355,0.212,0.927,0.870,0.122
0.677,0.036,0.737,0.404,0.737,0.608,0.869,0.889,0.552
0.108,0.034,0.869,0.839,0.095,0.049,0.870,0.924,0.074
0.957,0.002,0.352,0.351,0.990,0.984,0.891,0.863,0.933
0.964,0.004,0.118,0.978,0.994,0.995,0.865,0.839,0.816
0.262,0.020,0.933,0.755,0.285,0.233,0.951,0.934,0.135
0.155,0.002,0.468,0.011,0.192,0.265,0.989,0.973,0.082
0.872,0.052,0.298,0.242,0.930,0.903,0.777,0.797,0.721
0.104,0.027,0.730,0.962,0.118,0.130,0.670,0.749,0.075
0.584,0.057,0.799,0.708,0.684,0.636,0.825,0.691,0.602
0.988,0.004,0.005,0.013,0.998,0.999,0.880,0.817,0.913
0.008,0.088,0.094,0.039,0.005,0.002,0.591,0.691,0.005
0.008,0.088,0.094,0.039,0.005,0.002,0.591,0.691,0.005
0.227,0.048,0.367,0.245,0.201,0.136,0.739,0.738,0.114
0.920,0.246,0.294,0.072,0.930,0.920,0.729,0.826,0.759
0.336,0.132,0.714,0.608,0.292,0.216,0.689,0.740,0.241
0.468,0.050,0.651,0.803,0.504,0.478,0.669,0.719,0.312
0.985,0.104,0.022,0.011,0.993,0.995,0.629,0.760,0.916
0.047,0.019,0.307,0.242,0.037,0.008,0.786,0.862,0.019
0.293,0.102,0.025,0.021,0.263,0.265,0.481,0.341,0.122
0.223,0.011,0.163,0.980,0.321,0.477,0.552,0.385,0.116
0.224,0.011,0.163,0.981,0.322,0.478,0.552,0.385,0.116
0.010,0.042,0.362,0.009,0.006,0.004,0.970,0.974,0.004
0.424,0.024,0.438,0.463,0.476,0.398,0.732,0.772,0.251
0.521,0.042,0.779,0.581,0.534,0.521,0.767,0.794,0.404
0.411,0.105,0.703,0.673,0.366,0.335,0.611,0.611,0.370
0.411,0.105,0.703,0.673,0.366,0.335,0.611,0.611,0.370
0.444,0.089,0.670,0.781,0.469,0.536,0.702,0.699,0.309
0.895,0.013,0.033,0.019,0.939,0.972,0.881,0.842,0.591
0.929,0.008,0.390,0.634,0.979,0.982,0.840,0.875,0.864
0.531,0.038,0.907,0.886,0.596,0.633,0.856,0.898,0.447
0.077,0.020,0.902,0.739,0.055,0.054,0.878,0.926,0.048
0.077,0.025,0.850,0.676,0.053,0.052,0.843,0.876,0.045
0.922,0.004,0.351,0.569,0.976,0.963,0.897,0.889,0.789
0.196,0.091,0.031,0.002,0.155,0.067,0.780,0.781,0.063
0.192,0.031,0.620,0.613,0.170,0.072,0.868,0.953,0.090
0.192,0.031,0.620,0.613,0.170,0.072,0.868,0.953,0.090
0.903,0.034,0.752,0.490,0.948,0.947,0.824,0.884,0.845
0.118,0.614,0.061,0.043,0.125,0.104,0.721,0.968,0.070
0.305,0.029,0.554,0.458,0.334,0.193,0.833,0.824,0.171
0.935,0.013,0.038,0.195,0.980,0.977,0.680,0.674,0.710
0.844,0.022,0.086,0.087,0.904,0.744,0.687,0.664,0.618
0.844,0.022,0.086,0.087,0.904,0.744,0.687,0.664,0.618
0.351,0.049,0.716,0.560,0.380,0.211,0.754,0.720,0.273
0.058,0.020,0.642,0.750,0.045,0.040,0.759,0.771,0.044
0.617,0.014,0.116,0.975,0.859,0.910,0.675,0.700,0.399
0.511,0.093,0.601,0.225,0.494,0.342,0.830,0.815,0.302
0.489,0.797,0.347,0.663,0.469,0.400,0.817,0.976,0.236
0.248,0.737,0.016,0.004,0.236,0.133,0.300,0.754,0.083
0.085,0.011,0.217,0.232,0.095,0.090,0.822,0.779,0.060
0.505,0.510,0.636,0.750,0.494,0.576,0.590,0.746,0.379
0.263,0.072,0.782,0.705,0.224,0.150,0.755,0.819,0.166
0.560,0.083,0.827,0.602,0.571,0.600,0.781,0.772,0.430
0.053,0.265,0.757,0.404,0.039,0.013,0.703,0.857,0.037
0.135,0.028,0.940,0.865,0.098,0.122,0.904,0.873,0.070
0.907,0.124,0.016,0.008,0.922,0.825,0.503,0.620,0.490
0.907,0.124,0.016,0.008,0.922,0.825,0.503,0.620,0.490
0.907,0.124,0.016,0.008,0.922,0.825,0.503,0.620,0.490
0.009,0.031,0.035,0.012,0.006,0.004,0.872,0.940,0.004
0.688,0.039,0.874,0.637,0.730,0.640,0.820,0.821,0.663
0.165,0.051,0.892,0.480,0.150,0.087,0.948,0.945,0.063
0.960,0.004,0.333,0.703,0.991,0.994,0.845,0.900,0.900
0.940,0.023,0.128,0.735,0.981,0.990,0.727,0.759,0.796
0.446,0.055,0.791,0.506,0.411,0.652,0.911,0.968,0.322
0.874,0.005,0.936,0.904,0.941,0.949,0.912,0.891,0.853
0.040,0.010,0.778,0.889,0.033,0.022,0.837,0.879,0.026
0.040,0.010,0.787,0.888,0.034,0.022,0.843,0.885,0.027
0.976,0.002,0.127,0.078,0.995,0.993,0.929,0.911,0.879
0.024,0.061,0.044,0.169,0.015,0.014,0.408,0.656,0.013
0.022,0.223,0.056,0.069,0.012,0.007,0.411,0.847,0.011
0.246,0.027,0.623,0.306,0.201,0.276,0.848,0.822,0.156
0.130,0.028,0.581,0.144,0.106,0.053,0.966,0.981,0.033
0.511,0.135,0.781,0.515,0.477,0.460,0.752,0.740,0.380
0.093,0.027,0.667,0.401,0.065,0.040,0.797,0.817,0.052
0.348,0.004,0.188,0.576,0.429,0.434,0.778,0.821,0.165
0.235,0.064,0.321,0.167,0.211,0.160,0.823,0.815,0.096
0.469,0.022,0.736,0.495,0.507,0.430,0.864,0.893,0.280
0.987,0.003,0.038,0.720,0.999,0.999,0.852,0.849,0.945
0.026,0.013,0.108,0.326,0.019,0.013,0.555,0.531,0.011
0.025,0.023,0.455,0.392,0.017,0.005,0.759,0.772,0.012
0.027,0.013,0.115,0.332,0.020,0.013,0.565,0.545,0.011
0.026,0.051,0.153,0.176,0.019,0.008,0.680,0.751,0.015
0.175,0.019,0.934,0.952,0.187,0.186,0.888,0.917,0.112
0.304,0.141,0.444,0.071,0.271,0.112,0.816,0.880,0.134
0.304,0.141,0.444,0.071,0.271,0.112,0.816,0.880,0.134
0.079,0.079,0.079,0.011,0.073,0.025,0.775,0.847,0.030
0.635,0.038,0.600,0.654,0.667,0.820,0.710,0.786,0.471
0.025,0.101,0.543,0.524,0.020,0.009,0.654,0.673,0.021
0.399,0.057,0.008,0.001,0.390,0.428,0.704,0.458,0.116
0.844,0.093,0.036,0.044,0.894,0.854,0.807,0.831,0.471
0.011,0.981,0.201,0.065,0.004,0.005,0.239,0.921,0.015
0.501,0.131,0.772,0.557,0.472,0.467,0.735,0.757,0.358
0.265,0.141,0.007,0.004,0.238,0.217,0.447,0.372,0.072
0.242,0.122,0.160,0.185,0.227,0.220,0.759,0.838,0.114
0.047,0.195,0.743,0.592,0.025,0.010,0.714,0.829,0.027
0.245,0.018,0.941,0.843,0.250,0.190,0.878,0.901,0.212
0.124,0.005,0.918,0.850,0.123,0.062,0.944,0.977,0.066
0.947,0.007,0.085,0.991,0.993,0.997,0.839,0.847,0.786
0.818,0.009,0.575,0.527,0.903,0.922,0.924,0.943,0.643
0.722,0.028,0.782,0.453,0.734,0.746,0.845,0.839,0.541
0.337,0.101,0.747,0.510,0.307,0.161,0.721,0.810,0.240
0.965,0.007,0.027,0.919,0.996,0.998,0.799,0.839,0.835
0.863,0.007,0.018,0.362,0.971,0.987,0.869,0.837,0.593
0.283,0.007,0.127,0.156,0.437,0.469,0.902,0.893,0.124
0.202,0.064,0.827,0.499,0.160,0.089,0.850,0.862,0.119
0.031,0.810,0.111,0.008,0.017,0.020,0.660,0.811,0.023
0.197,0.071,0.832,0.830,0.187,0.143,0.708,0.756,0.176
0.783,0.131,0.148,0.217,0.852,0.846,0.696,0.755,0.541
0.290,0.003,0.573,0.861,0.321,0.412,0.806,0.845,0.174
0.243,0.617,0.099,0.101,0.276,0.250,0.739,0.967,0.155
0.029,0.032,0.251,0.517,0.022,0.046,0.796,0.822,0.019
0.265,0.048,0.076,0.136,0.277,0.185,0.792,0.902,0.128
0.300,0.065,0.128,0.038,0.305,0.243,0.831,0.809,0.115
0.936,0.012,0.018,0.025,0.975,0.972,0.776,0.746,0.637
0.991,0.255,0.025,0.020,0.997,0.990,0.652,0.874,0.928
0.991,0.255,0.025,0.020,0.997,0.990,0.652,0.874,0.928
0.489,0.091,0.108,0.039,0.524,0.578,0.811,0.703,0.308
0.255,0.521,0.008,0.007,0.272,0.223,0.203,0.236,0.089
0.112,0.572,0.011,0.003,0.076,0.097,0.262,0.367,0.057
0.547,0.065,0.025,0.018,0.543,0.719,0.519,0.340,0.277
0.160,0.008,0.926,0.869,0.161,0.089,0.925,0.966,0.090
0.503,0.035,0.361,0.713,0.581,0.762,0.859,0.834,0.347
0.280,0.022,0.765,0.481,0.280,0.128,0.892,0.921,0.131
0.461,0.006,0.007,0.002,0.576,0.608,0.891,0.730,0.118
0.019,0.083,0.017,0.005,0.012,0.010,0.780,0.871,0.010
0.389,0.469,0.010,0.002,0.341,0.249,0.243,0.175,0.173
0.389,0.469,0.010,0.002,0.341,0.249,0.243,0.175,0.173
0.597,0.036,0.089,0.098,0.668,0.809,0.762,0.801,0.326
0.006,0.932,0.176,0.126,0.002,0.004,0.308,0.863,0.004
0.099,0.011,0.825,0.681,0.086,0.033,0.917,0.968,0.046
0.003,0.299,0.102,0.072,0.001,0.003,0.792,0.924,0.002
0.196,0.007,0.135,0.222,0.180,0.212,0.770,0.731,0.084
0.615,0.008,0.171,0.849,0.815,0.850,0.811,0.603,0.325
0.742,0.059,0.045,0.009,0.784,0.787,0.875,0.753,0.424
0.220,0.010,0.960,0.992,0.276,0.280,0.895,0.935,0.155
0.329,0.044,0.071,0.028,0.335,0.218,0.903,0.830,0.098
0.845,0.049,0.154,0.353,0.935,0.957,0.737,0.743,0.696
0.761,0.001,0.032,0.167,0.908,0.858,0.721,0.645,0.421
0.397,0.123,0.037,0.075,0.399,0.388,0.359,0.303,0.147
0.165,0.036,0.855,0.627,0.147,0.069,0.866,0.914,0.095
0.039,0.080,0.099,0.051,0.025,0.015,0.541,0.539,0.014
0.168,0.007,0.965,0.942,0.198,0.201,0.922,0.927,0.139
0.071,0.072,0.128,0.412,0.066,0.149,0.748,0.663,0.052
0.471,0.097,0.164,0.039,0.514,0.133,0.693,0.666,0.203
0.810,0.006,0.229,0.771,0.939,0.938,0.871,0.912,0.428
0.116,0.170,0.820,0.410,0.096,0.035,0.845,0.885,0.064
0.072,0.012,0.846,0.643,0.059,0.018,0.936,0.978,0.029
0.075,0.008,0.861,0.666,0.065,0.090,0.936,0.963,0.049
0.075,0.008,0.861,0.666,0.065,0.090,0.936,0.963,0.049
0.532,0.025,0.886,0.931,0.630,0.758,0.851,0.870,0.393
0.417,0.052,0.240,0.390,0.454,0.516,0.750,0.760,0.203
0.226,0.023,0.307,0.278,0.208,0.357,0.840,0.815,0.139
0.226,0.023,0.307,0.278,0.208,0.357,0.840,0.815,0.139
0.790,0.964,0.680,0.416,0.816,0.574,0.722,0.977,0.679
0.277,0.047,0.355,0.261,0.263,0.168,0.725,0.696,0.144
0.612,0.017,0.137,0.056,0.664,0.423,0.847,0.751,0.198
0.837,0.699,0.766,0.848,0.873,0.860,0.853,0.972,0.632
0.007,0.293,0.034,0.029,0.005,0.017,0.816,0.944,0.005
0.078,0.016,0.742,0.610,0.061,0.025,0.881,0.944,0.046
0.289,0.028,0.903,0.791,0.312,0.402,0.897,0.940,0.236
0.289,0.028,0.903,0.791,0.312,0.402,0.897,0.940,0.236
0.289,0.028,0.903,0.791,0.312,0.402,0.897,0.940,0.236
0.751,0.025,0.035,0.069,0.876,0.850,0.792,0.544,0.461
0.084,0.010,0.027,0.008,0.076,0.039,0.914,0.883,0.024
0.908,0.008,0.744,0.530,0.958,0.953,0.912,0.928,0.848
0.864,0.009,0.025,0.059,0.953,0.963,0.864,0.694,0.596
0.423,0.191,0.252,0.594,0.440,0.497,0.550,0.634,0.218
0.180,0.064,0.805,0.693,0.137,0.056,0.790,0.899,0.094
0.735,0.029,0.060,0.013,0.780,0.583,0.877,0.727,0.250
0.745,0.068,0.859,0.864,0.771,0.784,0.657,0.721,0.706
0.007,0.460,0.014,0.002,0.003,0.002,0.554,0.649,0.003
0.939,0.008,0.049,0.318,0.987,0.990,0.846,0.836,0.732
0.754,0.118,0.498,0.551,0.797,0.890,0.715,0.814,0.502
0.777,0.155,0.013,0.002,0.770,0.648,0.646,0.327,0.296
0.322,0.018,0.948,0.864,0.392,0.334,0.911,0.891,0.325
0.745,0.004,0.646,0.996,0.911,0.949,0.791,0.768,0.558
0.412,0.060,0.689,0.317,0.408,0.298,0.895,0.867,0.269
0.799,0.764,0.813,0.891,0.825,0.840,0.852,0.972,0.608
0.710,0.024,0.222,0.627,0.833,0.898,0.664,0.732,0.493
0.524,0.045,0.891,0.751,0.575,0.456,0.771,0.844,0.507
0.579,0.016,0.953,0.921,0.718,0.621,0.930,0.953,0.501
0.968,0.024,0.310,0.626,0.991,0.992,0.741,0.863,0.895
0.728,0.956,0.014,0.002,0.670,0.414,0.246,0.224,0.340
0.134,0.024,0.043,0.012,0.124,0.073,0.927,0.847,0.031
0.230,0.049,0.891,0.869,0.203,0.206,0.745,0.735,0.207
0.031,0.103,0.503,0.631,0.024,0.008,0.564,0.581,0.025
0.031,0.103,0.503,0.631,0.024,0.008,0.564,0.581,0.025
0.924,0.018,0.123,0.792,0.985,0.987,0.759,0.810,0.831
0.854,0.017,0.762,0.461,0.926,0.906,0.922,0.950,0.693
0.027,0.133,0.003,0.000,0.016,0.023,0.808,0.696,0.007
0.548,0.051,0.804,0.591,0.598,0.453,0.735,0.836,0.452
0.010,0.120,0.156,0.055,0.005,0.002,0.674,0.774,0.006
0.613,0.346,0.353,0.052,0.564,0.374,0.673,0.672,0.376
0.309,0.031,0.163,0.092,0.398,0.582,0.806,0.836,0.146
0.506,0.063,0.011,0.025,0.571,0.727,0.515,0.432,0.232
0.682,0.114,0.008,0.008,0.719,0.819,0.458,0.369,0.339
0.021,0.015,0.144,0.093,0.015,0.003,0.725,0.783,0.009
0.151,0.077,0.047,0.045,0.128,0.163,0.750,0.658,0.053
0.146,0.052,0.047,0.023,0.144,0.184,0.832,0.802,0.056
0.078,0.553,0.185,0.061,0.056,0.091,0.834,0.947,0.067
0.021,0.148,0.068,0.041,0.014,0.057,0.931,0.979,0.009
0.968,0.029,0.320,0.985,0.990,0.995,0.578,0.464,0.878
0.042,0.052,0.220,0.039,0.031,0.031,0.914,0.966,0.019
0.028,0.040,0.018,0.008,0.018,0.013,0.817,0.845,0.010
0.959,0.005,0.268,0.229,0.988,0.993,0.888,0.894,0.911
0.022,0.020,0.368,0.623,0.015,0.006,0.657,0.634,0.013
0.416,0.386,0.006,0.001,0.385,0.398,0.427,0.300,0.148
0.636,0.095,0.011,0.004,0.729,0.747,0.842,0.879,0.215
0.636,0.095,0.011,0.004,0.729,0.747,0.842,0.879,0.215
0.970,0.004,0.176,0.314,0.994,0.997,0.925,0.955,0.889
0.192,0.082,0.022,0.015,0.155,0.149,0.694,0.664,0.072
0.030,0.142,0.634,0.143,0.022,0.008,0.886,0.910,0.017
0.528,0.010,0.578,0.937,0.686,0.798,0.877,0.896,0.335
0.119,0.028,0.757,0.815,0.096,0.065,0.743,0.758,0.089
0.474,0.003,0.476,0.979,0.696,0.798,0.766,0.654,0.322
0.628,0.048,0.707,0.674,0.667,0.711,0.799,0.853,0.443
0.485,0.002,0.236,0.982,0.764,0.868,0.798,0.836,0.294
0.803,0.191,0.141,0.133,0.853,0.777,0.640,0.675,0.573
0.026,0.069,0.242,0.071,0.016,0.008,0.774,0.795,0.013
0.715,0.019,0.173,0.403,0.833,0.870,0.837,0.837,0.413
0.676,0.008,0.028,0.054,0.843,0.892,0.883,0.847,0.356
0.280,0.810,0.022,0.030,0.270,0.278,0.448,0.936,0.099
0.280,0.810,0.022,0.030,0.270,0.278,0.448,0.936,0.099
0.008,0.706,0.044,0.043,0.003,0.008,0.473,0.857,0.005
0.305,0.034,0.904,0.768,0.332,0.278,0.892,0.882,0.247
0.363,0.093,0.761,0.447,0.324,0.189,0.789,0.816,0.205
0.059,0.995,0.554,0.414,0.023,0.042,0.631,0.975,0.099
0.066,0.057,0.009,0.001,0.043,0.024,0.842,0.765,0.020
0.418,0.136,0.494,0.260,0.370,0.300,0.749,0.755,0.233
0.820,0.010,0.008,0.003,0.898,0.866,0.921,0.806,0.431
0.522,0.170,0.158,0.444,0.543,0.601,0.507,0.561,0.248
0.216,0.022,0.869,0.838,0.234,0.145,0.881,0.946,0.102
0.261,0.022,0.824,0.746,0.309,0.282,0.880,0.817,0.230
0.976,0.035,0.120,0.050,0.992,0.994,0.873,0.931,0.927
0.976,0.035,0.120,0.050,0.992,0.994,0.873,0.931,0.927
0.041,0.941,0.085,0.020,0.023,0.013,0.192,0.796,0.036
0.081,0.004,0.187,0.012,0.106,0.124,0.966,0.937,0.032
0.799,0.038,0.481,0.187,0.846,0.794,0.869,0.848,0.584
0.821,0.997,0.793,0.593,0.736,0.795,0.418,0.842,0.787
0.295,0.025,0.835,0.758,0.320,0.215,0.777,0.789,0.239
0.641,0.074,0.802,0.897,0.699,0.638,0.583,0.672,0.566
0.032,0.327,0.103,0.053,0.024,0.019,0.571,0.655,0.022
0.032,0.327,0.103,0.053,0.024,0.019,0.571,0.655,0.022
0.893,0.004,0.079,0.024,0.946,0.957,0.922,0.865,0.580
0.402,0.224,0.036,0.007,0.401,0.314,0.744,0.567,0.164
0.958,0.060,0.026,0.004,0.981,0.981,0.846,0.844,0.827
0.716,0.014,0.249,0.552,0.840,0.878,0.825,0.904,0.404
0.050,0.194,0.084,0.080,0.046,0.041,0.687,0.871,0.033
0.961,0.004,0.504,0.744,0.985,0.983,0.811,0.838,0.789
0.631,0.015,0.642,0.456,0.698,0.524,0.788,0.845,0.441
0.594,0.001,0.178,0.155,0.813,0.753,0.929,0.872,0.274
0.077,0.501,0.060,0.035,0.052,0.030,0.411,0.922,0.020
0.077,0.501,0.060,0.035,0.052,0.030,0.411,0.922,0.020
0.548,0.021,0.015,0.019,0.649,0.748,0.830,0.681,0.240
0.901,0.008,0.066,0.520,0.968,0.975,0.828,0.824,0.687
0.890,0.006,0.110,0.835,0.970,0.976,0.836,0.855,0.668
0.890,0.006,0.110,0.835,0.970,0.976,0.836,0.855,0.668
0.865,0.023,0.100,0.567,0.952,0.976,0.788,0.740,0.675
0.965,0.004,0.017,0.787,0.996,0.998,0.858,0.800,0.834
0.665,0.022,0.083,0.046,0.775,0.837,0.852,0.882,0.353
0.584,0.009,0.395,0.458,0.677,0.670,0.850,0.875,0.326
0.218,0.027,0.702,0.461,0.205,0.136,0.890,0.873,0.106
0.181,0.138,0.062,0.075,0.127,0.092,0.146,0.125,0.071
0.131,0.037,0.213,0.681,0.126,0.295,0.677,0.482,0.066
0.832,0.005,0.305,0.957,0.946,0.975,0.779,0.752,0.640
0.774,0.010,0.068,0.295,0.905,0.983,0.889,0.842,0.562
0.774,0.010,0.068,0.295,0.905,0.983,0.889,0.842,0.562
0.774,0.010,0.068,0.295,0.905,0.983,0.889,0.842,0.562
0.257,0.054,0.838,0.616,0.229,0.134,0.812,0.876,0.178
0.595,0.002,0.416,0.886,0.782,0.792,0.873,0.938,0.331
0.747,0.003,0.076,0.106,0.902,0.889,0.941,0.905,0.556
0.658,0.035,0.266,0.324,0.760,0.825,0.839,0.820,0.411
0.993,0.003,0.226,0.173,0.999,0.998,0.843,0.875,0.986
0.929,0.034,0.026,0.036,0.970,0.971,0.705,0.651,0.704
0.097,0.108,0.062,0.011,0.084,0.061,0.919,0.908,0.049
0.003,0.237,0.009,0.001,0.001,0.002,0.824,0.893,0.002
0.067,0.111,0.084,0.016,0.049,0.024,0.822,0.682,0.026
0.602,0.066,0.690,0.690,0.695,0.718,0.718,0.645,0.543
0.522,0.036,0.144,0.058,0.589,0.569,0.845,0.853,0.294
0.106,0.020,0.077,0.192,0.090,0.031,0.735,0.883,0.040
0.218,0.189,0.017,0.007,0.184,0.213,0.540,0.437,0.075
0.817,0.171,0.016,0.003,0.809,0.634,0.568,0.268,0.378
0.982,0.018,0.430,0.923,0.996,0.997,0.613,0.619,0.939
0.015,0.455,0.096,0.028,0.008,0.013,0.591,0.863,0.013
0.884,0.088,0.420,0.725,0.943,0.960,0.678,0.815,0.748
0.326,0.027,0.237,0.254,0.328,0.081,0.574,0.662,0.140
0.885,0.015,0.222,0.326,0.959,0.976,0.914,0.940,0.669
0.113,0.044,0.771,0.489,0.095,0.028,0.878,0.927,0.054
0.162,0.121,0.733,0.800,0.102,0.178,0.602,0.566,0.142
0.920,0.042,0.589,0.301,0.946,0.949,0.817,0.854,0.844
0.066,0.047,0.306,0.615,0.057,0.027,0.524,0.583,0.035
0.066,0.047,0.306,0.615,0.057,0.027,0.524,0.583,0.035
0.033,0.026,0.244,0.287,0.022,0.007,0.622,0.638,0.014
0.638,0.014,0.057,0.604,0.805,0.781,0.550,0.687,0.297
0.336,0.041,0.514,0.166,0.330,0.228,0.907,0.921,0.138
0.104,0.024,0.022,0.011,0.089,0.070,0.842,0.831,0.028
0.013,0.463,0.020,0.001,0.007,0.007,0.764,0.726,0.005
0.534,0.053,0.610,0.287,0.555,0.451,0.865,0.876,0.349
0.064,0.016,0.765,0.380,0.062,0.070,0.959,0.939,0.031
0.008,0.980,0.007,0.000,0.003,0.002,0.111,0.685,0.008
0.678,0.007,0.046,0.224,0.799,0.898,0.646,0.519,0.403
0.856,0.039,0.029,0.053,0.929,0.952,0.755,0.590,0.601
0.090,0.006,0.408,0.087,0.081,0.034,0.963,0.971,0.023
0.591,0.020,0.637,0.867,0.740,0.730,0.769,0.735,0.441
0.069,0.131,0.492,0.625,0.036,0.062,0.688,0.588,0.054
0.899,0.042,0.127,0.035,0.936,0.923,0.840,0.860,0.768
0.699,0.368,0.015,0.004,0.763,0.569,0.612,0.914,0.262
0.850,0.019,0.440,0.406,0.919,0.924,0.846,0.913,0.661
0.247,0.048,0.616,0.302,0.254,0.185,0.880,0.737,0.186
0.025,0.057,0.134,0.796,0.017,0.038,0.550,0.410,0.019
0.149,0.235,0.122,0.018,0.107,0.033,0.589,0.529,0.058
0.012,0.111,0.089,0.418,0.008,0.013,0.616,0.830,0.009
0.887,0.060,0.011,0.022,0.915,0.830,0.557,0.723,0.365
0.078,0.017,0.526,0.594,0.082,0.040,0.725,0.578,0.054
0.350,0.009,0.965,0.937,0.467,0.406,0.921,0.936,0.378
0.101,0.069,0.296,0.265,0.077,0.030,0.382,0.306,0.052
0.495,0.114,0.728,0.351,0.484,0.325,0.815,0.846,0.325
0.125,0.008,0.657,0.970,0.138,0.156,0.714,0.697,0.071
0.643,0.050,0.113,0.152,0.755,0.834,0.825,0.738,0.333
0.643,0.050,0.113,0.152,0.755,0.834,0.825,0.738,0.333
0.013,0.389,0.002,0.000,0.006,0.009,0.704,0.732,0.004
0.014,0.412,0.003,0.000,0.006,0.008,0.724,0.740,0.004
0.357,0.048,0.012,0.002,0.323,0.158,0.829,0.724,0.101
0.357,0.048,0.012,0.002,0.323,0.158,0.829,0.724,0.101
0.307,0.048,0.899,0.651,0.317,0.163,0.867,0.884,0.248
0.828,0.045,0.662,0.660,0.892,0.950,0.796,0.829,0.671
0.032,0.908,0.076,0.010,0.015,0.024,0.667,0.926,0.019
0.942,0.006,0.007,0.012,0.978,0.977,0.761,0.707,0.580
0.084,0.021,0.694,0.848,0.104,0.070,0.854,0.874,0.053
0.576,0.060,0.747,0.719,0.619,0.550,0.736,0.799,0.468
0.134,0.021,0.804,0.656,0.125,0.056,0.867,0.927,0.086
0.221,0.020,0.934,0.910,0.249,0.176,0.875,0.907,0.172
0.130,0.018,0.840,0.728,0.126,0.063,0.874,0.935,0.085
0.418,0.043,0.559,0.412,0.408,0.394,0.707,0.767,0.256
0.352,0.455,0.843,0.573,0.347,0.183,0.832,0.945,0.234
0.064,0.130,0.007,0.000,0.042,0.033,0.875,0.658,0.013
0.840,0.016,0.182,0.097,0.932,0.811,0.861,0.802,0.665
0.736,0.044,0.018,0.025,0.794,0.823,0.502,0.336,0.388
